"year","mean","sd","n","se"
"1959",5.9669368151087,1.95330790324042,753,0.0711824971106127
"1960",6.44407089954978,2.09362025358399,753,0.0762957634094615
"1961",5.85387865408991,2.2269764802143,753,0.0811555344681085
"1962",6.25160578906265,2.3398797121699,753,0.0852699569660291
"1963",6.21481441651227,2.52908547177656,753,0.0921649981493313
"1964",6.07774056610072,1.8308327623118,753,0.0667192548584256
"1965",5.60822802327324,2.51267986327016,753,0.0915671445399913
"1966",5.41229927156792,1.91041009206561,753,0.0696192139667021
"1967",6.3202853580841,2.48032230724503,753,0.0903879696467526
"1968",5.41349738019792,2.78912820275077,753,0.101641482074625
"1969",5.18857560306409,1.9863001636366,753,0.0723848019169503
"1970",6.293502813032,2.45327784195112,753,0.0894024145433057
"1971",5.76530797331111,2.0251292946384,753,0.0737998141128043
"1972",7.17636615491531,2.41376472737714,753,0.0879624766004306
"1973",6.39058893484762,1.80898272470316,753,0.0659229952229817
"1974",7.76363246948761,1.8910620751932,753,0.0689141330356151
"1975",7.2667129283531,2.01889746642665,753,0.0735727136679946
"1976",7.78295307211491,2.84742347281585,753,0.1037658798135
"1977",4.91080312864886,2.66809250670728,753,0.0972306961101576
"1978",6.56962790243351,3.17691633494781,753,0.115773267214005
"1979",5.81695714610759,2.76254818478819,753,0.100672852372834
"1980",5.48704677179609,2.6034316701651,753,0.0948743242331491
"1981",4.96321114783172,2.36981932824597,753,0.0863610172291305
"1982",5.37067617784061,2.4994705996266,753,0.091085772212781
"1983",7.1173251747379,2.40955681608953,753,0.0878091317884964
"1984",6.91290879403046,2.64480034511362,753,0.0963818825551671
"1985",6.6965916701909,2.86894313754266,753,0.104550099991842
"1986",7.58531431158482,2.91271131387099,753,0.10614510100518
"1987",6.05259264092307,2.68780843100074,753,0.0979491843329942
"1988",6.72202445401992,2.9645747301652,753,0.108035108962648
"1989",6.51831372062048,2.92379129185402,753,0.106548877849299
"1990",7.89642600080935,2.7489376137188,753,0.100176855590036
"1991",7.43186925820721,2.41384081052098,753,0.0879652492243255
"1992",7.00177179584893,2.76023617981012,753,0.100588598227649
"1993",5.58569713615223,2.2694576934087,753,0.082703635937646
"1994",6.18264203816505,2.98534559545589,753,0.10879204137258
"1995",7.42547408723585,2.70087925347809,753,0.0984255115836462
"1996",5.55398555383551,2.75655691026322,753,0.100454518191697
"1997",7.90476973261753,2.35706891641435,753,0.085896366391514
"1998",6.08031911412658,1.0172439805054,753,0.037070431437353
"1999",7.99162964443637,2.74936040902996,753,0.100192263107697
"2000",7.47554833385485,2.32414238658973,753,0.0846964569403644
"2001",6.83085714073915,2.62574088864498,753,0.0956873173497745
"2002",8.51448285481484,2.29379256556107,753,0.0835904479777754
"2003",5.71986912192957,2.26991809139831,753,0.0827204137730865
"2004",5.1634009716299,2.23208971955987,753,0.0813418712685371
"2005",5.57455941872068,2.19036044430932,753,0.0798211719409901
"2006",8.26274301590438,2.51036009367787,753,0.0914826074365337
"2007",7.31647709621106,2.29387401452618,753,0.0835934161430676
"2008",7.22794324379243,2.23848764632046,753,0.0815750246809585
"2009",8.12222962847888,3.05141985391619,753,0.111199921207671
"2010",6.29715320600181,2.13725776914565,753,0.0778860028797617
"2011",6.24541399701513,2.54706386406309,753,0.0928201671858493
"2012",10.1030558840376,2.04792521845879,753,0.0746305437580317
"2013",7.23586416859136,2.18900276245942,753,0.0797716952639146
"2014",6.84596624086295,2.42738790876019,753,0.0884589329286049
"2015",7.46299409391544,2.62972888853673,753,0.0958326481449352
"2016",8.33335988320634,2.71129718305946,753,0.0988051620427952
"2017",7.80291923641996,2.11062726699524,753,0.0769155334318926
"2018",7.07331154693764,2.52424333039592,753,0.0919885407079495
"2019",7.19128075499792,2.61197093032343,753,0.0951855121726128
"2020",8.84192269569756,2.4463018168943,753,0.0891481940578273
"2021",8.04429379484679,2.81876288107463,753,0.102721429788277
"2022",8.03810217409218,2.77705067226402,753,0.101201352396375
