"","YEAR","name","DATA_VALUE","mean","sd","INDICATOR_NAME"
"1",1978,"North",1983.868,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"2",1978,"South",2179.304,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"3",1979,"North",2079.261,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"4",1979,"South",1668.214,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"5",1980,"North",2037.1235,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"6",1980,"South",817.545,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"7",1981,"North",1991.737,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"8",1981,"South",1136.797,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"9",1982,"North",2072.695,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"10",1982,"South",2147.108,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"11",1983,"North",2141.625,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"12",1984,"North",2124.608,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"13",1984,"South",1939.29,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"14",1985,"North",1099.378,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"15",1985,"South",783.059,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"16",1986,"North",1423.68,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"17",1986,"South",573.518,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"18",1987,"North",2107.618,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"19",1987,"South",1295.154,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"20",1988,"South",2455.862,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"21",1990,"North",1946.41,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"22",1991,"North",2223.9085,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"23",1991,"South",1720.681,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"24",1992,"North",2266.058,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"25",1992,"South",2457.9775,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"26",1993,"North",2420.38133333333,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"27",1993,"South",2632.597,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"28",1994,"North",2043.3105,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"29",1994,"South",1874.0515,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"30",1995,"North",1375.741,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"31",1995,"South",1101.9,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"32",1996,"North",2465.096,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"33",1996,"South",2369.843,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"34",1997,"North",2232.9615,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"35",1997,"South",2268.408,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"36",1998,"North",2549.4375,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"37",1998,"South",3231.10333333333,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"38",1999,"North",2137.5705,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"39",1999,"South",2129.744,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"40",2000,"North",1748.075,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"41",2000,"South",757.8135,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"42",2001,"North",2199.34233333333,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"43",2001,"South",2314.8005,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"44",2002,"North",2146.892,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"45",2002,"South",1019.741,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"46",2003,"North",2240.295,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"47",2003,"South",1080.825,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"48",2004,"North",2332.774,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"49",2004,"South",1382.112,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"50",2005,"North",2321.986,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"51",2005,"South",2568.9355,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"52",2006,"North",2107.918,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"53",2006,"South",2068.637,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"54",2007,"North",2033.889,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"55",2007,"South",1155.44433333333,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"56",2008,"North",2255.90033333333,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"57",2008,"South",2462.27366666667,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"58",2009,"North",2204.3645,2080.57271052632,282.564591081872,"shelf_water_volume_North"
