"","CRUISE6","STATION","STRATUM","SVSPP","CATCHSEX","LENGTH","TOW","SVVESSEL","YEAR","SEASON","LAT","LON","EST_TOWDATE","DEPTH","SURFTEMP","SURFSALIN","BOTTEMP","BOTSALIN","ABUNDANCE","BIOMASS","NUMLEN","INDID","INDWT","SEX","MATURITY","AGE","STOM_VOLUME","STOM_WGT"
"1",198306,107,3370,141,0,15,1,"AL",1983,"FALL",36.966667,-75.716667,1983-09-23 13:25:00,19,23.2,NA,22.9,NA,5,0.7,2,NA,NA,"0","X",1,NA,NA
"2",198306,107,3370,141,0,16,1,"AL",1983,"FALL",36.966667,-75.716667,1983-09-23 13:25:00,19,23.2,NA,22.9,NA,5,0.7,1,NA,NA,"0","X",1,NA,NA
"3",198306,107,3370,141,0,16,1,"AL",1983,"FALL",36.966667,-75.716667,1983-09-23 13:25:00,19,23.2,NA,22.9,NA,5,0.7,1,NA,NA,"0","X",1,NA,NA
"4",198306,113,3350,141,0,23,2,"AL",1983,"FALL",37.5,-75.433333,1983-09-23 22:01:00,24,22,NA,22,NA,2,0.3,1,NA,NA,"2","X",2,NA,NA
"5",198306,115,1650,141,0,23,3,"AL",1983,"FALL",37.416667,-75.1,1983-09-24 02:11:00,29,21.3,NA,15.4,NA,3,0.7,1,NA,NA,"1","T",2,NA,NA
"6",198306,115,1650,141,0,27,3,"AL",1983,"FALL",37.416667,-75.1,1983-09-24 02:11:00,29,21.3,NA,15.4,NA,3,0.7,1,NA,NA,"1","T",2,NA,NA
"7",198306,116,1650,141,0,18,4,"AL",1983,"FALL",37.533333,-75.233333,1983-09-24 03:47:00,28,21.9,NA,21.8,NA,3,0.6,1,NA,NA,"0","X",1,NA,NA
"8",198306,116,1650,141,0,23,4,"AL",1983,"FALL",37.533333,-75.233333,1983-09-24 03:47:00,28,21.9,NA,21.8,NA,3,0.6,1,NA,NA,"1","D",2,NA,NA
"9",198306,116,1650,141,0,24,4,"AL",1983,"FALL",37.533333,-75.233333,1983-09-24 03:47:00,28,21.9,NA,21.8,NA,3,0.6,1,NA,NA,"2","D",2,NA,NA
"10",198306,118,3310,141,0,18,1,"AL",1983,"FALL",37.783333,-75.25,1983-09-24 06:48:00,20,21.4,NA,21.4,NA,1,0.1,1,NA,NA,"0","X",2,NA,NA
"11",198306,124,3290,141,0,17,1,"AL",1983,"FALL",38.05,-74.95,1983-09-24 17:04:00,22,20.6,NA,20.6,NA,3,0.7,1,NA,NA,"2","D",2,NA,NA
"12",198306,124,3290,141,0,18,1,"AL",1983,"FALL",38.05,-74.95,1983-09-24 17:04:00,22,20.6,NA,20.6,NA,3,0.7,1,NA,NA,"2","D",2,NA,NA
"13",198306,124,3290,141,0,27,1,"AL",1983,"FALL",38.05,-74.95,1983-09-24 17:04:00,22,20.6,NA,20.6,NA,3,0.7,1,NA,NA,"2","D",2,NA,NA
"14",198306,147,3240,141,0,20,1,"AL",1983,"FALL",38.916667,-74.95,1983-09-26 14:26:00,14,20,NA,20.1,NA,5,1.8,1,NA,NA,"2","T",2,NA,NA
"15",198306,147,3240,141,0,31,1,"AL",1983,"FALL",38.916667,-74.95,1983-09-26 14:26:00,14,20,NA,20.1,NA,5,1.8,1,NA,NA,"1","T",4,NA,NA
"16",198306,153,3200,141,0,27,3,"AL",1983,"FALL",39.216667,-74.283333,1983-09-26 22:24:00,25,20.2,NA,15.9,NA,4,1.1,1,NA,NA,"1","T",3,NA,NA
"17",198306,153,3200,141,0,28,3,"AL",1983,"FALL",39.216667,-74.283333,1983-09-26 22:24:00,25,20.2,NA,15.9,NA,4,1.1,1,NA,NA,"1","R",3,NA,NA
"18",198306,172,3080,141,0,25,1,"AL",1983,"FALL",40.583333,-73,1983-09-28 17:08:00,24,NA,NA,NA,NA,1,0.4,1,NA,NA,"1","D",3,NA,NA
"19",198306,174,3070,141,0,26,1,"AL",1983,"FALL",40.683333,-72.933333,1983-09-28 19:07:00,17,19,NA,18.3,NA,2,0.8,1,NA,NA,"1","D",2,NA,NA
"20",198306,174,3070,141,0,31,1,"AL",1983,"FALL",40.683333,-72.933333,1983-09-28 19:07:00,17,19,NA,18.3,NA,2,0.8,1,NA,NA,"1","D",4,NA,NA
"21",198306,176,3040,141,0,29,3,"AL",1983,"FALL",40.833333,-72.433333,1983-09-28 23:13:00,20,NA,NA,NA,NA,1,0.6,1,NA,NA,"2","T",3,NA,NA
"22",198306,211,3200,141,0,31,1,"AL",1983,"FALL",39.5,-73.916667,1983-10-05 11:04:00,25,20,NA,18.7,NA,5,2,1,NA,NA,"2","X",3,NA,NA
"23",198306,211,3200,141,0,31,1,"AL",1983,"FALL",39.5,-73.916667,1983-10-05 11:04:00,25,20,NA,18.7,NA,5,2,1,NA,NA,"1","X",3,NA,NA
"24",198306,215,3160,141,0,6,2,"AL",1983,"FALL",39.783333,-74.016667,1983-10-05 17:39:00,19,19.2,NA,18.8,NA,2,0,1,NA,NA,"0","X",0,NA,NA
"25",198306,215,3160,141,0,8,2,"AL",1983,"FALL",39.783333,-74.016667,1983-10-05 17:39:00,19,19.2,NA,18.8,NA,2,0,1,NA,NA,"0","X",0,NA,NA
"26",198306,216,3170,141,0,5,1,"AL",1983,"FALL",39.783333,-73.95,1983-10-05 19:03:00,23,19.3,NA,19.2,NA,10,2.5,1,NA,NA,"0","X",0,NA,NA
"27",198306,216,3170,141,0,5,1,"AL",1983,"FALL",39.783333,-73.95,1983-10-05 19:03:00,23,19.3,NA,19.2,NA,10,2.5,1,NA,NA,"0","X",0,NA,NA
"28",198306,216,3170,141,0,6,1,"AL",1983,"FALL",39.783333,-73.95,1983-10-05 19:03:00,23,19.3,NA,19.2,NA,10,2.5,3,NA,NA,"0","X",0,NA,NA
"29",198306,216,3170,141,0,6,1,"AL",1983,"FALL",39.783333,-73.95,1983-10-05 19:03:00,23,19.3,NA,19.2,NA,10,2.5,3,NA,NA,"0","X",0,NA,NA
"30",198306,216,3170,141,0,6,1,"AL",1983,"FALL",39.783333,-73.95,1983-10-05 19:03:00,23,19.3,NA,19.2,NA,10,2.5,3,NA,NA,"0","X",0,NA,NA
"31",198306,216,3170,141,0,7,1,"AL",1983,"FALL",39.783333,-73.95,1983-10-05 19:03:00,23,19.3,NA,19.2,NA,10,2.5,2,NA,NA,"0","X",0,NA,NA
"32",198306,216,3170,141,0,31,1,"AL",1983,"FALL",39.783333,-73.95,1983-10-05 19:03:00,23,19.3,NA,19.2,NA,10,2.5,1,NA,NA,"1","D",3,NA,NA
"33",198306,216,3170,141,0,40,1,"AL",1983,"FALL",39.783333,-73.95,1983-10-05 19:03:00,23,19.3,NA,19.2,NA,10,2.5,2,NA,NA,"1","D",4,NA,NA
"34",198306,216,3170,141,0,40,1,"AL",1983,"FALL",39.783333,-73.95,1983-10-05 19:03:00,23,19.3,NA,19.2,NA,10,2.5,2,NA,NA,"1","D",5,NA,NA
"35",198306,217,3170,141,0,5,2,"AL",1983,"FALL",39.95,-74.016667,1983-10-05 20:47:00,21,19.2,NA,19.1,NA,7,1.1,1,NA,NA,"0","I",0,NA,NA
"36",198306,217,3170,141,0,8,2,"AL",1983,"FALL",39.95,-74.016667,1983-10-05 20:47:00,21,19.2,NA,19.1,NA,7,1.1,2,NA,NA,"0","I",0,NA,NA
"37",198306,217,3170,141,0,8,2,"AL",1983,"FALL",39.95,-74.016667,1983-10-05 20:47:00,21,19.2,NA,19.1,NA,7,1.1,2,NA,NA,"0","I",0,NA,NA
"38",198306,219,1010,141,0,5,1,"AL",1983,"FALL",40.116667,-73.766667,1983-10-06 01:49:00,30,19.4,NA,13.4,NA,7,0,2,NA,NA,"0","X",0,NA,NA
"39",198306,219,1010,141,0,6,1,"AL",1983,"FALL",40.116667,-73.766667,1983-10-06 01:49:00,30,19.4,NA,13.4,NA,7,0,4,NA,NA,"0","X",0,NA,NA
"40",198306,219,1010,141,0,6,1,"AL",1983,"FALL",40.116667,-73.766667,1983-10-06 01:49:00,30,19.4,NA,13.4,NA,7,0,4,NA,NA,"0","X",0,NA,NA
"41",198306,219,1010,141,0,6,1,"AL",1983,"FALL",40.116667,-73.766667,1983-10-06 01:49:00,30,19.4,NA,13.4,NA,7,0,4,NA,NA,"0","X",0,NA,NA
"42",198306,219,1010,141,0,6,1,"AL",1983,"FALL",40.116667,-73.766667,1983-10-06 01:49:00,30,19.4,NA,13.4,NA,7,0,4,NA,NA,"0","X",0,NA,NA
"43",198306,220,3160,141,0,6,1,"AL",1983,"FALL",40.133333,-73.983333,1983-10-06 03:34:00,16,19.2,NA,19.2,NA,2,0.5,1,NA,NA,"0","X",0,NA,NA
"44",198306,220,3160,141,0,28,1,"AL",1983,"FALL",40.133333,-73.983333,1983-10-06 03:34:00,16,19.2,NA,19.2,NA,2,0.5,1,NA,NA,"2","D",3,NA,NA
"45",198306,221,3140,141,0,5,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,2,NA,NA,"0","X",0,NA,NA
"46",198306,221,3140,141,0,5,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,2,NA,NA,"0","X",0,NA,NA
"47",198306,221,3140,141,0,5,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,2,NA,NA,"0","X",0,NA,NA
"48",198306,221,3140,141,0,6,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,14,NA,NA,"0","X",0,NA,NA
"49",198306,221,3140,141,0,6,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,14,NA,NA,"0","X",0,NA,NA
"50",198306,221,3140,141,0,7,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,3,NA,NA,"0","X",0,NA,NA
"51",198306,221,3140,141,0,7,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,3,NA,NA,"0","X",0,NA,NA
"52",198306,221,3140,141,0,7,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,3,NA,NA,"0","X",0,NA,NA
"53",198306,221,3140,141,0,7,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,3,NA,NA,"0","X",0,NA,NA
"54",198306,221,3140,141,0,8,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,7,NA,NA,"0","X",0,NA,NA
"55",198306,221,3140,141,0,8,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,7,NA,NA,"0","X",0,NA,NA
"56",198306,221,3140,141,0,8,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,7,NA,NA,"0","X",0,NA,NA
"57",198306,221,3140,141,0,8,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,7,NA,NA,"0","X",0,NA,NA
"58",198306,221,3140,141,0,8,1,"AL",1983,"FALL",40.25,-73.866667,1983-10-06 05:01:00,26,19.3,NA,15.3,NA,26,0.1,7,NA,NA,"0","X",0,NA,NA
"59",198306,222,3130,141,0,29,1,"AL",1983,"FALL",40.233333,-73.933333,1983-10-06 06:36:00,20,19.4,NA,19.3,NA,1,0.5,1,NA,NA,"2","T",3,NA,NA
"60",198306,254,1090,141,0,8,4,"AL",1983,"FALL",40.833333,-70.533333,1983-10-09 03:07:00,53,17.3,NA,12.4,NA,2,0,2,NA,NA,"0","X",0,NA,NA
"61",198306,254,1090,141,0,8,4,"AL",1983,"FALL",40.833333,-70.533333,1983-10-09 03:07:00,53,17.3,NA,12.4,NA,2,0,2,NA,NA,"0","X",0,NA,NA
"62",198306,254,1090,141,0,8,4,"AL",1983,"FALL",40.833333,-70.533333,1983-10-09 03:07:00,53,17.3,NA,12.4,NA,2,0,2,NA,NA,"0","X",0,NA,NA
"63",198306,254,1090,141,0,8,4,"AL",1983,"FALL",40.833333,-70.533333,1983-10-09 03:07:00,53,17.3,NA,12.4,NA,2,0,2,NA,NA,"0","X",0,NA,NA
"64",198306,261,3550,141,0,4,3,"AL",1983,"FALL",40.95,-69.783333,1983-10-09 18:15:00,35,15.6,NA,15.2,NA,9,0,1,NA,NA,"0","X",0,NA,NA
"65",198306,261,3550,141,0,6,3,"AL",1983,"FALL",40.95,-69.783333,1983-10-09 18:15:00,35,15.6,NA,15.2,NA,9,0,5,NA,NA,"0","X",0,NA,NA
"66",198306,261,3550,141,0,6,3,"AL",1983,"FALL",40.95,-69.783333,1983-10-09 18:15:00,35,15.6,NA,15.2,NA,9,0,5,NA,NA,"0","X",0,NA,NA
"67",198306,261,3550,141,0,6,3,"AL",1983,"FALL",40.95,-69.783333,1983-10-09 18:15:00,35,15.6,NA,15.2,NA,9,0,5,NA,NA,"0","X",0,NA,NA
"68",198306,261,3550,141,0,7,3,"AL",1983,"FALL",40.95,-69.783333,1983-10-09 18:15:00,35,15.6,NA,15.2,NA,9,0,2,NA,NA,"0","X",0,NA,NA
"69",198306,261,3550,141,0,7,3,"AL",1983,"FALL",40.95,-69.783333,1983-10-09 18:15:00,35,15.6,NA,15.2,NA,9,0,2,NA,NA,"0","X",0,NA,NA
"70",198306,261,3550,141,0,7,3,"AL",1983,"FALL",40.95,-69.783333,1983-10-09 18:15:00,35,15.6,NA,15.2,NA,9,0,2,NA,NA,"0","X",0,NA,NA
"71",198306,261,3550,141,0,9,3,"AL",1983,"FALL",40.95,-69.783333,1983-10-09 18:15:00,35,15.6,NA,15.2,NA,9,0,1,NA,NA,"0","X",0,NA,NA
"72",198306,390,3660,141,0,8,2,"AL",1983,"FALL",42.3,-70.666667,1983-10-26 15:43:00,49,12.1,NA,10.7,NA,2,0.1,1,NA,NA,"0","X",0,NA,NA
"73",198306,390,3660,141,0,8,2,"AL",1983,"FALL",42.3,-70.666667,1983-10-26 15:43:00,49,12.1,NA,10.7,NA,2,0.1,1,NA,NA,"0","X",0,NA,NA
"74",198306,390,3660,141,0,8,2,"AL",1983,"FALL",42.3,-70.666667,1983-10-26 15:43:00,49,12.1,NA,10.7,NA,2,0.1,1,NA,NA,"0","X",0,NA,NA
"75",198306,390,3660,141,0,8,2,"AL",1983,"FALL",42.3,-70.666667,1983-10-26 15:43:00,49,12.1,NA,10.7,NA,2,0.1,1,NA,NA,"0","X",0,NA,NA
"76",198306,390,3660,141,0,8,2,"AL",1983,"FALL",42.3,-70.666667,1983-10-26 15:43:00,49,12.1,NA,10.7,NA,2,0.1,1,NA,NA,"0","X",0,NA,NA
"77",198306,390,3660,141,0,8,2,"AL",1983,"FALL",42.3,-70.666667,1983-10-26 15:43:00,49,12.1,NA,10.7,NA,2,0.1,1,NA,NA,"0","X",0,NA,NA
"78",198402,2,1670,141,0,36,1,"AL",1984,"SPRING",37.483333,-74.5,1984-03-02 13:04:00,120,10.6,NA,11.2,NA,1,0.6,1,NA,NA,"2","T",4,NA,NA
"79",198402,3,1660,141,0,24,1,"AL",1984,"SPRING",37.35,-74.566667,1984-03-02 14:29:00,97,10.6,NA,13.1,NA,13,3.9,1,NA,NA,"1","D",3,NA,NA
"80",198402,3,1660,141,0,24,1,"AL",1984,"SPRING",37.35,-74.566667,1984-03-02 14:29:00,97,10.6,NA,13.1,NA,13,3.9,1,NA,NA,"2","T",3,NA,NA
"81",198402,3,1660,141,0,24,1,"AL",1984,"SPRING",37.35,-74.566667,1984-03-02 14:29:00,97,10.6,NA,13.1,NA,13,3.9,1,NA,NA,"2","D",3,NA,NA
"82",198402,3,1660,141,0,24,1,"AL",1984,"SPRING",37.35,-74.566667,1984-03-02 14:29:00,97,10.6,NA,13.1,NA,13,3.9,1,NA,NA,"2","D",3,NA,NA
"83",198402,3,1660,141,0,26,1,"AL",1984,"SPRING",37.35,-74.566667,1984-03-02 14:29:00,97,10.6,NA,13.1,NA,13,3.9,2,NA,NA,"2","X",3,NA,NA
"84",198402,3,1660,141,0,26,1,"AL",1984,"SPRING",37.35,-74.566667,1984-03-02 14:29:00,97,10.6,NA,13.1,NA,13,3.9,2,NA,NA,"1","T",3,NA,NA
"85",198402,3,1660,141,0,29,1,"AL",1984,"SPRING",37.35,-74.566667,1984-03-02 14:29:00,97,10.6,NA,13.1,NA,13,3.9,1,NA,NA,"2","D",4,NA,NA
"86",198402,3,1660,141,0,33,1,"AL",1984,"SPRING",37.35,-74.566667,1984-03-02 14:29:00,97,10.6,NA,13.1,NA,13,3.9,1,NA,NA,"1","S",3,NA,NA
"87",198402,3,1660,141,0,38,1,"AL",1984,"SPRING",37.35,-74.566667,1984-03-02 14:29:00,97,10.6,NA,13.1,NA,13,3.9,1,NA,NA,"2","T",5,NA,NA
"88",198402,5,1670,141,0,18,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,1,NA,NA,"2","T",2,NA,NA
"89",198402,5,1670,141,0,20,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,1,NA,NA,"2","T",2,NA,NA
"90",198402,5,1670,141,0,21,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,2,NA,NA,"1","T",3,NA,NA
"91",198402,5,1670,141,0,21,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,2,NA,NA,"2","I",2,NA,NA
"92",198402,5,1670,141,0,22,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,4,NA,NA,"2","T",2,NA,NA
"93",198402,5,1670,141,0,22,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,4,NA,NA,"2","T",2,NA,NA
"94",198402,5,1670,141,0,22,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,4,NA,NA,"2","I",2,NA,NA
"95",198402,5,1670,141,0,22,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,4,NA,NA,"1","T",2,NA,NA
"96",198402,5,1670,141,0,22,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,4,NA,NA,"2","T",2,NA,NA
"97",198402,5,1670,141,0,22,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,4,NA,NA,"2","T",2,NA,NA
"98",198402,5,1670,141,0,23,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,5,NA,NA,"1","T",2,NA,NA
"99",198402,5,1670,141,0,23,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,5,NA,NA,"2","T",3,NA,NA
"100",198402,5,1670,141,0,24,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,2,NA,NA,"2","T",3,NA,NA
"101",198402,5,1670,141,0,24,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,2,NA,NA,"2","T",3,NA,NA
"102",198402,5,1670,141,0,24,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,2,NA,NA,"2","T",3,NA,NA
"103",198402,5,1670,141,0,24,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,2,NA,NA,"2","T",3,NA,NA
"104",198402,5,1670,141,0,26,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,3,NA,NA,"2","T",3,NA,NA
"105",198402,5,1670,141,0,26,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,3,NA,NA,"1","T",3,NA,NA
"106",198402,5,1670,141,0,26,2,"AL",1984,"SPRING",37.083333,-74.583333,1984-03-02 18:59:00,115,11,NA,12.9,NA,19,3.4,3,NA,NA,"2","T",3,NA,NA
"107",198402,6,1660,141,0,7,2,"AL",1984,"SPRING",36.966667,-74.766667,1984-03-02 21:10:00,65,12,NA,13.7,NA,4,0.6,1,NA,NA,"0","X",1,NA,NA
"108",198402,6,1660,141,0,21,2,"AL",1984,"SPRING",36.966667,-74.766667,1984-03-02 21:10:00,65,12,NA,13.7,NA,4,0.6,1,NA,NA,"2","I",3,NA,NA
"109",198402,6,1660,141,0,23,2,"AL",1984,"SPRING",36.966667,-74.766667,1984-03-02 21:10:00,65,12,NA,13.7,NA,4,0.6,1,NA,NA,"2","I",2,NA,NA
"110",198402,6,1660,141,0,28,2,"AL",1984,"SPRING",36.966667,-74.766667,1984-03-02 21:10:00,65,12,NA,13.7,NA,4,0.6,1,NA,NA,"1","T",4,NA,NA
"111",198402,9,1630,141,0,18,1,"AL",1984,"SPRING",36.283333,-74.783333,1984-03-03 05:23:00,148,14,NA,10.9,NA,1,0.1,1,NA,NA,"1","I",2,NA,NA
